Name,Rating,Review Title,Review Date,Review Content
Celia Higgs,5.0 out of 5 stars,As good as the old one,Reviewed in the United Kingdom on 4 April 2019,My old one had broken ... the charging point had been pushed in. My new kindle is great... I fall asleep reading and when I can’t sleep the light is great to read from. You need a new cover as my old one didn’t fit... additional cost.  Putting it on charge I was slightly concerned that the connection is a tight fit . I hope I don’t end up pushing that in too.Only negative is that there are no longer the pictures on the screen... the pencils etc.  Now it just advertises books. This is disappointing.... I miss the pictures!
W. Cassidy,1.0 out of 5 stars,I'm sticking to books!,Reviewed in the United Kingdom on 14 January 2021,"Absolute Rubbish! I'm no whiz-kid but they're too slow and get confused very easily and therefore freeze up and trying to get back to normalcy is a bit of a nightmare. I notice that none of the kindle books do pictures and that's really boring. Over the top advertising from Amazon as well. Books are good, try them, they've got pictures.For me it was a total waste of money, it's only now I can get to sleep!"
Shauna,1.0 out of 5 stars,Received 3 Faulty Products,Reviewed in the United Kingdom on 22 June 2020,"I recently ordered a kindle paperwhite and it came faulty, so I returned it. Ordered another, same problem again. Finally ordered a third and once again the same problem. The screen was all scrambled and frozen making it unusable. When I asked if it was possible that there was a faulty batch as all 3 had the exact same issue I was told to reorder another one again, not very helpful. This time I will not be reordering."
Kelly Tav,1.0 out of 5 stars,Home experience in Japanese ?!,Reviewed in the United Kingdom on 18 June 2020,"Home experience was a disaster. I bought the kindle for my partner and I knew I would have the page home experience to select my type of reading to have a nice experience with my own kindle. I was expecting this page to have a kindle with my style as I was using his kindle for a while. So when I was going through the steps after selecting the language English from uk , it showed my home experience in Japanese. So all the options of books was in Japanese and I couldn't read a single thing. I have to skip the step. Looking to my whole thing is in Japanese. Than I reset the kindle to start it again and guess what my home experience disappeared. Now I can't select the type of books I read and my kindle is not pared with what a like. I am extremely Disappointed because I was waiting for this step. Not joking. I need to have this set up for my style of reading and now I am so upset and I want to return the kindle. There is no point not having a kindle with my personality. I can use my Fiancé one that I use sometimes."
Ballards,2.0 out of 5 stars,DONT BUY IF YOU THINK YOU ARE GETTING AUDIBLE BOOKS.,Reviewed in the United Kingdom on 19 January 2020,If you want audible then you have to subscribe £7.99 per month. Or purchase a book for say £9.99 and pay an extra. £9.99 for audible  so you could be paying double the cost of a book for audible! if you chose the single purchase option. I feel that this should be mentioned in the initial advert instead of being hidden in the ads attached.  I am keeping this as my old kindle has died on me. But not paying exorbitant price of the audible.  Disappointing amazon.
Mark Bramley,2.0 out of 5 stars,Headphones and Kindle Unlimited issues have spoilt the experience,Reviewed in the United Kingdom on 21 October 2020,"I was delighted to be buying a Kindle that would allow me to read, and listen to, books.  I mainly listen to audiobooks nowadays, but tend to fall asleep at night, so the prospect of being able to read the same book at night seamlessly was very appealing.The reality is somewhat difference.  The first audiobook I wanted to read as well isn't even available as a text book!  So, I thought I would use Kindle Unlimited (3 months free with the Kindle purchase) to find a new text / audio combo.  I gave up as searching by genre and by audio was not easy, and then when I finally chose some books, it turned out they were all chargeable.  So Kindle Limited actually!Then my earbuds won't pair easily with the Kindle.  Occasionally they do, but most times not.  Even if they do, if I then pause, it loses the connection again - and repeat.  Very frustrating.The same earbuds pair with other devices seamlessly.So, I am just debating whether to keep the Kindle for read only, or send back"
ASH,1.0 out of 5 stars,way too bright in pitch black room!,Reviewed in the United Kingdom on 2 March 2021,In a pitch black room the lowest brightness setting just keeps me awake!  They need to take down the lowest brightness setting back to the last generation where I could actually fall asleep whilst reading this!  if they do that mixed with the new dark mode feature - this would be PERFECT!  Please listen to this request amazon - lot's of forums complain about this feature!
Karen Howard,4.0 out of 5 stars,As good as ever,Reviewed in the United Kingdom on 6 January 2020,This was a Christmas present to replace my aged paperwhite which would no longer automatically connect to wifi and which wouldn't remember my default device. This is is smaller and lighter with all the good features of a paperwhite.  Had a moment's scare when the battery seemed to drain almost overnight without being used and my screen froze but once I charged it up again it seemed to right itself and is now working fine.
Jill,3.0 out of 5 stars,Great piece of kit but.....,Reviewed in the United Kingdom on 29 September 2020,"This is my 2nd kindle & I love it BUT this new one is smaller than my first, exactly the same thing but does NOT fit snuggly into the proper leather holder I bought first time round. BEWARE IF YOU READ IN THE BATH, HOT TUB OR DON'T HAVE IT FIRMLY IN YOUR GRASP, IT WILL AND DOES DROP OUT OF THE CASE. I do not understand why and would appreciate if Amazon could explain this."
ami,4.0 out of 5 stars,Great way to read,Reviewed in the United Kingdom on 24 December 2019,"I love the simplicity of buying and downloading books . I wish there is a special place to store titles of books read ,even if not bought from Amazon. Being able to alter the print and background is brilliant.I do find holding it difficult with arthritis the amazon case doesn't  really help much on that front and my fingers touch the screen and pages go haywire, some cases have a surround but I found that out afterwards. Maybe I need to invest in a flexible holder."
Old&Not in my PRIME init,3.0 out of 5 stars,"The Wife says ""Don't waste your life reading a bad book"".",Reviewed in the United Kingdom on 9 July 2019,"Bought it as needed to read on holiday in the sun, which I can't do with my Kindle Fire. And in that respect it was excellent.But its a book library, so why is your library not easily accessible, it's NOT and it's ANNOYING.Touch screen, yes frequently resulting in a myriad of options, changes you had NOT wanted.Easy to hold, to be fare I had it in a cover, but it was as slippery as an eel.Overall it was as GOOD as it was ANNOYING, but I enjoyed my holiday."
GRG Cambridge,1.0 out of 5 stars,Dead After 12-Months!,Reviewed in the United Kingdom on 28 April 2020,"*DO NOT BUY*Worked great for a year, but then left it uncharged for 5-weeks. Result, dead battery. Apparently a common problem with Kindle Paperwhites. Just out of warranty, typical. Amazon's response is simply to offer a discount on a new purchase. What a waste of £120. Lobo will be my next e-reader."
Sharon Emery,5.0 out of 5 stars,Surprised & impressed,Reviewed in the United Kingdom on 3 July 2020,"I was adamant I would never read a book electronically but lack of library access has reduced me to the kindle. I am pleasantly surprised by it's lightness, (much easier than lugging a paperback which often means a bigger bag to carry it in), easier to read when eating as I can stand it up with the cover angled, my eyes don't get so tired so quickly. All in all am very impressed, although you have to be careful when selecting a book to read that it is actually free."
Kindle Customer Patricia shepherd,5.0 out of 5 stars,Brilliant,Reviewed in the United Kingdom on 13 November 2018,Son got me this for Xmas I’ve listened to a 10 hour audiobook and read a book and the battery was still full highly impressive bit of e-reader got to say I’m over the moon with it buy it you won’t be sorry .
Peter,5.0 out of 5 stars,Be careful when buying case as different kindles vary in size,Reviewed in the United Kingdom on 21 October 2020,"Bought it to replace Kindle that I purchased many year ago which continues to work very well with excellent battery life, but not backlit and is larger (with keyboard). Paperwhite is more compact and better to use in low lighting. Be careful when buying a case as there seem to be a good number of different models of kindles with different case sizes - the first one I bought was the wrong size."
Bill Robley,5.0 out of 5 stars,It's not a lawn mower.,Reviewed in the United Kingdom on 20 June 2019,"This is my first Kindle so have nothing to compare it against but, being on my second book, I'd have to say it does what it does very well.There's no unnecessary bells and whistles so it doesn't double as a torch or a toaster or an automatic dog walker.It's an E book, plain and simple.The battery life is quoted as weeks rather than days and, so it may be, IF you turn off the wi-fi and bluetooth.Am I pleased with it?Yup. It's perfectly good.Should you buy one?Well. That depends.If you want an E book with 8GB of memory. Go for it.If you want something to cut the grass... then no. No you shouldn't buy this."
peter coombes,3.0 out of 5 stars,Not there yet but almost,Reviewed in the United Kingdom on 27 April 2019,It’s a very nice kindle but I did find it a bit slow and sometimes buggy on turning pages and getting into menus for books that sometimes did not work then jumped a lot of pages after it caught up but if this is sorted out with an update I think it’s a very good kindle it has a nice screen but a bit too small for me so I returned and got the oasis not from amazon but another shop that’s is very nice and seems to work faster but is it worth the extra for me the bigger screen is but maybe not for everyone
Jmax,5.0 out of 5 stars,Best one yet.,Reviewed in the United Kingdom on 22 March 2019,"Got this for my partner and she loves it. Upgraded from the paper white 3 years ago to this one and it’s faster, lighter and looks much better, it’s also nice the screen is flush with the bezel (boarder) as it feels so much better swiping the screen and not hitting your finger on the bezel. Nice to be water resistant too. Battery life is just as good too. Great upgrade."
Isobel Henry-Rufus,4.0 out of 5 stars,4.0 out of 5 stars,Reviewed in the United Kingdom on 4 December 2019,Verified Purchase
T Rowley,5.0 out of 5 stars,A great replacement for reading on a smartphone!,Reviewed in the United Kingdom on 27 September 2020,"I had been reading on an iPhone using the Kindle app for many years. The Kindle Paperwhite is so much better; I wish I had bought one sooner. The screen is easy to read without tiring your eyes and the battery lasts for ages.Compared to reading on an iPhone, the light from the screen is much softer, so it disturbs my partner less than a smartphone on night mode.If I could find one fault, it’s that the screen looks delicate, so a case is a must if you plan on putting it in your backpack or luggage.Also, if you upload a large number of books when you get your kindle home then be prepared for it to freeze up for a night while it gets its act together. Keep it plugged in to a wall socket and try and be patient and all will be well. It’ll also be heavy on the battery while it indexes over the first day or two."
Gill Rice,3.0 out of 5 stars,Cannot use bluetooth,Reviewed in the United Kingdom on 25 October 2019,I didn't want to order another Paperwhite (this is my 3rd). I sat on my first one (oops) but was very annoyed with Amazon when the charging port on my 2nd one stopped working.  I would have thought it could have been repaired but they said no I would have to replace it.  So reluctantly had to buy my 3rd Paperwhite.  All very well but yippee I can bluetooth my headphones and listen to my audiobooks on my Paperwhite - NO - it will not recognize my headphone (£250 worth).  So as you can imagine I am not in awe of my new Paperwhite which I think Amazon fooled me into buying
Jill Wales,5.0 out of 5 stars,Great. can read without a light,Reviewed in the United Kingdom on 29 September 2019,"I love this kindle. I have had my other one for many years and didn't really want to change it but, decided that the light would be a big advantage for camping or just reading outside in the evening and reading in bed in the middle of the night and don't want to put the light on to wake your partner.  I was not disappointed - it does exactly what it says, the light is enough to read by and it is lighter than my other one.  Really pleased with this kindle."
Louise M.,4.0 out of 5 stars,Beware of the AD version which is TEN pound cheaper.,Reviewed in the United Kingdom on 23 February 2020,"I like my Kindle. This order did not go well. I was offered a discount as a valued customer to replace my old one which had died. I did so but had not realised I had ticked the one with adverts. The lady and I were still ""chatting"" when I did so, so I probably did not pay as much attention as I usually do. When I got the new kindle adverts were appearing. I then contacted the chat line and they kindly agreed to remove this app. Two days later the adverts reappeared. I contacted the chat again. They offered to remove the adverts again and offered to repay the £10 pound fee. I explained that I had not paid £10 in the first place so did not want it refunding. I was then debited £10 for the removal of the ads. I thought ok....that's fair but really feel a bit put out especially when the paper white appeared a couple of days later at a much reduced rate."
Mrs. L. M. Oliver,5.0 out of 5 stars,Reading was never so easy!!,Reviewed in the United Kingdom on 16 January 2019,"I bought the paperwhite as an update to my previous basic kindle and was very pleased with the backlight, the ease of transfer of my existing kindle books and the way it sorts them for you.  It made my old kindle look so basic I wished I had upgraded years ago!  It isnt too heavy and the print is very clear as the font can be changed, the text enlarged etc to suit which is a boon for people with poor eyesight.  I am still learning about it but so far, am happy.  I havent tried its waterproof qualities but its good to know that it is waterproof should the need arise!  All in all, I am delighted with my purchase."
Deborah Monaghan,5.0 out of 5 stars,Couldn’t recommend more !!,Reviewed in the United Kingdom on 16 September 2020,I love it. However I don’t think the battery life is as states it would only apply if used very sparingly as I don’t it needs to be charged a lot more than weekly and I’m sure it advertised as even monthly. Nah not if you are avid reader as I am.However that said I lobe my new paper white it’s c my fourth and I’m not sure my last. Everything else about it is 5 🌟
Mr. J. Ian Press,4.0 out of 5 stars,"Very good, but a couple of cons",Reviewed in the United Kingdom on 14 November 2018,"It is very good and compact, I welcome the extra memory I chose, and I got used to it quite quickly. I do find the contrast somewhat unsatisfactory, though manageable. Most disappointing, though I did suspect this before purchase, is that the Teach Yourself audio (touch and listen) enhanced language textbooks, advertised on Amazon for Kindle, only have the audio on an iPad (and presumably iPhone, Apple laptop and Apple desktop). I use my iPad. Ok, I knew, but that doesn’t stop this being unsatisfactory."
Noonerz,3.0 out of 5 stars,"Handy size, massive storage capacity",Reviewed in the United Kingdom on 12 April 2019,"Great to use in all light conditions, handy and convenient size. Great for those with fading eyesight; with adjustable fonts, sizes, light levels, and massive storage capacity. I bought as my eyes are getting worse with age and I can now read far easier. The only problems I have with the Kindle is a clunky, terribly designed interface, designed for adults with children's hands or of course children - if this was made more intuitive, it could massively improve it. Though this shouldn't put you off a purchase - I am just being picky!"
B D Rogers,4.0 out of 5 stars,My Paperwhite,Reviewed in the United Kingdom on 16 October 2019,"This is my second Paperwhite, after I dropped the first it ended up with a blank area on the screen. I miss the raised face of my old one as my fingers often inadvertently touch the screen and I loose the page I'm reading. The most annoying thing is the on/off button its location at the bottom of the kindle is where I place the fingers of my right hand as I hold it to read. Without a doubt  I will have accidentally turned of my Kindle three times for every hour of use. This button location also causes a problem if I try to stand it upright when I use it travelling on a train or aeroplane fold down table. I don't use a cover and my well travelled Kindle has scuff marks on the black surround but I've yet to scratch the face. My kindle is my favourite possession and would love to have a better version of my Paperwhite."
Dr S P Deacon,3.0 out of 5 stars,Disappointed user,Reviewed in the United Kingdom on 8 January 2020,I had to replace my previous Kindle due to a screen fault just outside warranty.This replacement opens slower than my previous KindleAlthough only a few weeks old it has already frozen once and required rebootingI am having trouble saving downloaded books to existing collectionsAlso I had anticipated this model to have 3 and 4G capability but this is not installedHaving been a Kindle user for several years I am somewhat disappointed
dawn,3.0 out of 5 stars,Could not transport books from old kindle in their collection format,Reviewed in the United Kingdom on 4 December 2019,"Call me naive, but I had imagined that I would be able to port all my book collections across from my trusty eight year old kindle to this paper white. Not only are the enclosed instructions brief to the point of useless, it wasn’t easy to access any google guidance which really helped with this. Accordingly I had to completely re file all the collections which had been assigned in one general pile onto this new one. It took me about ten hours.....yes, I have a lot of books but isn’t that the whole point of having a kindle and creating libraries of samples, classics, unread, cookery and so on?"
Fiona,5.0 out of 5 stars,Love my new Paperwhite,Reviewed in the United Kingdom on 14 July 2020,"This is great , upgraded from my old Paperwhite that was getting a bit slow after quite a few years of daily use. I have the one with ads which is really no problem which I thought would be reading some reviews. It’s literally around 5 seconds and you swipe it away, not worth paying the extra £10 to have without.Would definitely recommend and wouldn’t be without it."
JFDIT,5.0 out of 5 stars,Significant Improvement over Previous Model,Reviewed in the United Kingdom on 25 April 2019,"I have had most of the Kindle readers and am delighted to say this version is the best so far.  It is lighter, thinner and the case is so much better. Less bulky and just slicker.The screen light is better diffused than before, no bright spots at the bottom of the screen.  For me this is a very worthwhile upgrade.Only comment, which is in respect of the software, please bring the screen brightness control slider forward rather than having to navigate to it via settings."
K9 crazy,5.0 out of 5 stars,Good purchase,Reviewed in the United Kingdom on 26 September 2020,"My husband is a prolific reader and during lockdown books have cost us a fortune! I finally persuaded him to try a kindle - and he loves it!! It would not replace 'real' books for all reading, but for one read paperbacks it is brilliant. We have also chosen Kindle Unlimited and the combination is brilliant and superb value.  Would recommend for all bookworms everywhere."
Mrs Livingstone,4.0 out of 5 stars,A bit disappointed,Reviewed in the United Kingdom on 17 March 2019,"I loved my 6th generation Kindle PaperWhite which I bought in 2013 and I was told that the latest edition was much better and so I decided to purchase a brand new one.  It's great, but I'm disappointed because I can't detect any improvement. It's much slower 'waking up' than my old one and I honestly don't think the charge lasts any longer - in fact without doing a check I'd guess that it's not quite as good.  I'm giving it four stars because it's a Kindle and I love using one to read my favourite books but I don't think it's any better than my six year old one."
Wendy Woo,5.0 out of 5 stars,Favourite new kindle,Reviewed in the United Kingdom on 4 August 2020,"Had to buy a new Kindle when I'd reached the maximum capacity of my original Kindle (with a keyboard format), this new 10th Generation style is so much smaller and lighter, although I do miss the side buttons to move back and forth through the book I'm reading, I'm still getting the hang of not hitting the screen whilst reading and finding myself on a totally new page!!  But in all honesty, I did have my original Kindle for almost 9yrs, so that might take a while, but I'm loving the fact I can read comics and magazines, read 'normal' books and listen to audio books all on a device the size of a smallish birthday card and it doesn't actually weigh a lot more than the card tbh, a very worthwhile purchase."
fen,5.0 out of 5 stars,Absolutely thrilled,Reviewed in the United Kingdom on 30 November 2018,"I have never used a Kindle before and I just love it.  It is sleek in its gorgeous red leather case, it is really slim to carry around in a handbag.  Plus, I have paired it with my iPhone, so if you are out and about and, for example, waiting for an appointment, you can access it on your iPhone via the Kindle app.  And for someone who is a bit of a technological dinosaur, it was relatively easy to set everything up.  The service was quick and efficient.  Really impressed all round.  My only slight bug bear was that not long after I bought it, it was £30 cheaper in the Black Friday deal!!"
English Roses,5.0 out of 5 stars,Paperwhite Kindle - Superb!,Reviewed in the United Kingdom on 1 August 2019,"I had been toying with the idea of getting a Kindle for months but, because I hadn’t been reading much, I thought it was a waste of time. I also love to touch hard copy books and see them sitting neatly in my bookshelves. Recently, I have had more time on m hands so I thought I would find something to read. I most wanted to read books I had read years ago but many were no longer in print. I bought some used paperbacks which were classed as “very good” condition but all three I ordered were badly yellowed which put me off. And so I bought a Kindle. I thought for sure I wouldn’t use it much and wouldn’t warm to it. Was I wrong! I have had it about three weeks now and I have been able to read many books that were out of print.Things I love:- instant purchase, instant read. No waiting for books to arrive even though it is usually only a day as a Prime member.- can read out of print books easily- easy to carry to read on the train- lovely adjustable brightness that can be altered any time- syncs with goodreads.com- great battery time between charges- I have gone from not reading fiction at all to being excited about what I shall find to read nextThings I don’t like:- the leather cover I purchased can be tiring on the hands if you read a lot as I now do.- do check that the charger fits securely. I had to return the first Kindle because the USB cable kept falling out"
Amazon Customer,4.0 out of 5 stars,Sadly not impressed,Reviewed in the United Kingdom on 13 September 2020,"This is my first Kindle and I bought it to have access to foreign literature which I cannot buy in my town. I am a book lover and I knew a Kindle could not entirely replace books for me, however, I was happy with an adequate result.These are my thoughts:The print colour isn't dark enough, unless you increase the screen brightness, in which case you'll be dazzled by it;The screen is slightly too small, so for a fast reader this means turning page every few seconds, or having a tiny font size (not very comfortable);The touch screen is quite slow to respond, I was expecting it to be like an Ipad but it feels more like an old one.Overall, for my personal reading experience, Kindle isn't suitable. But if you enjoy to read a few lines here and there and technology encourages you, then go for it."
T-Barr,5.0 out of 5 stars,The upgrade you didn't even know you needed,Reviewed in the United Kingdom on 14 January 2019,"I love my  old Kindle. I had the original model (without a keyboard) and I never considered upgrading to the paperwhite, until my wife bought me one for Christmas. The difference is fantastic. No more struggling to find the best light source, and yet it never feels like a bright screen or tablet. The simple tap of the screen on either side turns the page, which is just perfect. The new home screen and navigation UI is a huge improvement as well!Go on...treat yourself!"
J. Barry,5.0 out of 5 stars,5.0 out of 5 stars,Reviewed in the United Kingdom on 6 September 2020,Verified Purchase
Dr C.,5.0 out of 5 stars,My second paperwhite,Reviewed in the United Kingdom on 10 August 2020,"My previous paperwhite lasted 6+ years and would still be going strong had the electrical connection been more robust. The screen is so much better for sitting outdoors reading, than using a Fire or a computer to read documents. You can read books but also send work docs to your kindle address and take those with you to read anywhere too. This new kindle has an earphone port too, so I must try that sometime! These are more expensive than the Fire, and you can't watch movies... but buy a Fire for that, and use the Kindle for reading anywhere. It holds a very lot of books!"
sarah,5.0 out of 5 stars,Very pleased with this Kindle .,Reviewed in the United Kingdom on 22 August 2019,"Absolutely love my 2nd Kindle . It is really light even in the case I bought . Screen was fab on holiday in bright sunshine and also for reading in bed when other half was sleeping, didnt need bedside lamp on. I bought the Special Offers one unwittingly,  didn't realise the reason it was such a bargain was because of this but I think its fab as it advertises books you may like and is not a bad idea at all. Very happy with my purchase . Downloads so quickly too ."
M. S.,1.0 out of 5 stars,scam with 'special offers',Reviewed in the United Kingdom on 9 January 2020,"Active adverts on the device, which you can't switch off if you don't pay, is a scam. This program prevent device to wake up immediately to continue reading and is forcing reader to do extra swipe and wait to load ads and then to load your book. Bought as a Christmas gift for teenager, really disappointed. Now paid £10 RANSOM to Amazon to unlock device. It is a shame that you have to pay extra to unlock full potential of the device. Bought Kobo Clara HD for another boy for similar price and had all features on start without paying for releasing the device. From a ethical point of view shame on you Amazon.  WILL NOT BUY AGAIN AND WILL DO EVERYTHING TO AVOID SHOPPING ON AMAZON JUST BECAUSE YOU ARE NOT FAIR. I wash shopping on amazon over a decade but It is not about this £10 scam, it is personal now. You do bad things and you are bad guys."
Kotryna,1.0 out of 5 stars,"Expensive, broken and unrepairable",Reviewed in the United Kingdom on 19 October 2020,"I had my Kindle for 1 year and a half, it was working well and I did enjoy using it.Unfortunately, one morning I found it with depleted batter and it never charged again.I've tried numerous times to revive it as I was shocked it can break from just sitting on my bedside table.I've contacted customer service, and the representative guided me through the same steps of reviving Kindle as I did before, with no luck.The audacity to offer me a 15% discount to buy a new Kindle after this one broke OUT OF BLUE?After 1.5 years of using it with proper care? Representative said it's usually unbreakable (hence my did?) and unrepairable.If only Amazon wouldn't make billions I would take this one neatly, but offering only 1-year device guarantee, ridiculous 15% for a new kindle that should replace UNBREAKABLE one?NO thanks, Jeff."
Charlotte Main,4.0 out of 5 stars,Getting back to kindle....,Reviewed in the United Kingdom on 19 March 2020,I’ve found my love of reading again now that I have a new kindle! Had one years ago which the battery gave up on and then decided to read using the kindle app instead. Transitioned back to a physical kindle 2 months ago and although it took some time to get used to it (holding a larger item and the page not turning as quickly) I know love it and use it all the time.I have also bought the amazon cover in yellow for it which is amazing as the kindle auto turns on and off when you open and close the cover.
Cymru am Byth,5.0 out of 5 stars,Great e reader,Reviewed in the United Kingdom on 19 July 2019,"Having had a more expensive kindle Voyager for a few year. It broke. So I replaced it with this e reader. I must say for a fraction of the price of the voyager this e reader is no different when using than the more expensive one. The only difference is that it does not have adaptive lighting, and buttons on the side for page turning. But for a significant difference in price I don’t mind adjusting the light myself and I always swiped to change pages anyway. Great value"
Amazon Customer,3.0 out of 5 stars,"A bit pricey for what it is, returned for the basic model!",Reviewed in the United Kingdom on 18 July 2019,"Altough it is waterproof and had more storage, I don't feel you get a lot more for your money with the kindle paperwhite compared the new basic kindle. It may be that you feel you need it to be waterproof (say you like to read in the bath), but for me I felt I was paying a premium for features that I wouldn't really need. I replaced it with the basic kindle and it is perfect!Nice ereader though, but I feel you get a similar experience with the other kindle."
Lartoe,5.0 out of 5 stars,Light and comfortable,Reviewed in the United Kingdom on 27 February 2019,"I  have had various kindles in the past and loved them all, but after purchasing a Kindle Oasis last November which then lost 30% of its charge in 3 hours when not being used, I decided to get another Paperwhite (2018) instead. WOW!, glad I did that, it is lighter cheaper and more comfortable than the older Paperwhites,and I liked them, it is slightly smaller, AND came with a screen protector which I applied with no problems. I also bought a cover for it, you need to check that the covers fit the 2018 version (10th generation). Have had this for a couple of days now and enjoying it . It also fits in the rear pocket of my jeans even with the cover on...........unlike the Oasis!!overall , the best kindle out there..............trust me"
Tessa,5.0 out of 5 stars,Probably my Best Buy this year,Reviewed in the United Kingdom on 27 October 2020,Absolutely love this kindle. My old 3rd generation sadly packed up and I really didn’t want to change it but my new one is brilliant. So easy to setup and use. Night time black background is perfect for my middle of the night reading habit. Can’t find a fault with it and got a brilliant deal on Prime special day. Would highly recommend my ‘twilight blue’ kindle to everyone.
bayboy,2.0 out of 5 stars,Only 2 days and appears to the worst Kindle so far,Reviewed in the United Kingdom on 20 July 2019,Wanted to like this my fourth Kindle. Waterproof and with audible. Replacing working 7th generation.ConsIt is so slow.Loading old content ok forever.Magnetic cover waste of time as have to swipe to unlock every time.Annoying banner at the bottom of library screens.Leaving WiFi on overnight results in zero battery by morning.Pros.  It was cheap on Prime DayBut still considering returning as the previous Kindle was easier to use.
Amazon Customer,3.0 out of 5 stars,Slow delivery,Reviewed in the United Kingdom on 4 September 2020,"This was a replacement for my 5 year old kindle paper white which was struggling to recharge. Very similar to the original, I like the fact that it is waterproof as I like to read in the hot tub (hopefully this won’t be tested) downloading my existing library was very easy thanks to Amazons system. After reading other reviews I paid extra to have no special offers. I don’t know if this was worthwhile as I don’t know how intrusive the advertisements would be. However not having special offers meant having to wait considerably longer for delivery and the device was only available in black. Not sure why this should be. Perhaps a better description of what “ special offers “ entails would be helpful."
Roger Snook,4.0 out of 5 stars,A Curate's egg,Reviewed in the United Kingdom on 30 June 2020,"I bought this to replace my old manual keyboard Kindle, more to benefit from the backlighting than any of its other features.Is it an improvement? Yes and no.I like the backlighting and the fact that it is a bit lighter than my old kindle.I dislike the touchscreen, but then I find all touchscreens a nuisance as my fingers are too big to operate them with any success. Hence I also regret the loss of the keyboard.I miss the page advance and return buttons, which allowed one to read the Kindle one handed.I am aggravated that Amazon now insist that the Kindle has to be registered via Wifi, which I cannot access with any convenience.However, overall the one function which motivated my purchase, the backlighting, works well and the other inconveniences I can put up with. Just a pity the old keyboard version could not be supplied with backlighting."
W. Sutherland,4.0 out of 5 stars,Great reader let down slightly by interface.,Reviewed in the United Kingdom on 22 January 2020,"Like my new Kindle. Had the original keyboard version and was sad to see it go once it packed up. I like the way the new Kindle fits into my hand, I also like the lighting. Not 100% on the interface and I feel strangely that the kindle app on other devices is more intuitive and is more flexible and why this version should have less features feels odd.However as a reader it is great."
Gabriel,1.0 out of 5 stars,Battery problem,Reviewed in the United Kingdom on 6 March 2021,"This is was my third kindle. I bought it in Feb 2019 as a replacement for the one that I've lost. Light, touch and connectivity to WIFI is find, nothing to complain.The main problem is with its battery. It doesn't last as much as its predecessors and it if you're NOT using it it keeps discharging until it's completely dead.  I've managed to power it up for several times, but the last time after 2 years and 1 months since I bought it, it doesn't power up.Since warranty lasts only 1 year, Amazon gave me 15% off for a new kindle. There's no option to repair it or trade it back for a new or refurbished one. It feels such a waste .I'm not really satisfied with a 2 years lifetime for a product that I haven't used that much.Overall rating : 1 start"
Amazon Customer,5.0 out of 5 stars,4th edition adds bluetooth audio,Reviewed in the United Kingdom on 25 June 2020,"This is now the 3rd kindle i've owned in total, from an original, to a paperwhite 2e, to now the paperwhite 4e. You know exactly what you're getting, they all work pretty much the same; However, the new edition has added a high (300) dpi screen and bluetooth audio for audible books or read as text-to-speech. Bear in mind slightly smaller than paperwhite 1e-3e so old cases will not fit."
The Engineer,5.0 out of 5 stars,Should Have Got One Years Ago,Reviewed in the United Kingdom on 8 April 2019,"Wow, love the kindle. I don't think I will go back to reading real books again. No awkward holding of the book, bending the spine and turning pages. Oh, and best of all you can check what any word means at the touch of the screen.The only downside is the books cost more now on kindle than they do in hardback. Absolute joke, but all down to the greedy publishers."
Hedgemonkey,4.0 out of 5 stars,"Good screen, great in sunlight and the dark",Reviewed in the United Kingdom on 14 June 2019,"So overall pretty good. I had the old Kindle touch which felt antiquated and slow and whilst this one is better it still lacks the responsive touch so many are used to on smart devices. Sometimes I’m not sure I’ve even pressed true screen properly it takes so long to react. I appreciate these are designed to a single purpose but the leap in technology hasn’t teakky been what I expected based on my experiences of Kindle. Great device overall, just don’t expect lightening performance. It is what it is."
Mrs H,5.0 out of 5 stars,"Much needed replacement , fantastic",Reviewed in the United Kingdom on 8 March 2020,"When my old paper-white decided to take a bath in washing machine I was devastated, had to replace ASAP as reading hardback book in bed was danger to health ( hit me in face each time I nodded off).Love these as easy to hold can read in bed without disturbing other half by keeping light on and handy to fit in handbag. This one is supposedly waterproof but the washing machine is definitely a no no.Update - decided i would bin washing machine damaged kindle only to find it now works perfectly, how amazing !"
R O'B,4.0 out of 5 stars,3rd Kindle,Reviewed in the United Kingdom on 17 April 2019,"Disapointed that the battery life does not live up to expectatios, though i'm not sure what level of use it was calculated on, i got the fast charge plug and that works really well.  Strugling with the fact that when i select for collections on the home page it seems to open the contents of the collection as well, which is not at all what i want.  i often re read books and don't like that i have to scroll through 115 pages etc etc.  love the slimness and light weight though. Added later, i've sorted out how to find collections, so thats ok"
Raymond Morrison,3.0 out of 5 stars,"OK, but not great",Reviewed in the United Kingdom on 29 September 2019,"The device is OK, but the software, when compared to phone, PC, iPad, etc, is poor. It is clunky and not in the least intuitive.When I bought the device, transferring my collections and books was a nightmare. I thought it would happen automatically when I registered the device, but NO. I then spent half a day talking to Amazon support staff getting nowhere. Eventually I transferred everything manually. It took ages, probably half a day.Since then I discovered that the device I bought was the cheaper version with recommendations. Every time I switched on it showed book recomebdations and there was a recommendation banner across the bottom of my home page. All very annoying. Amazon were again unable to help me and I eventually found instruction on the internet and removed the rubbish myself. If you have the same problem, do a search on the internet. You will find easy to follow instructions.The bottom line is, the device is OK, but Amazon support is hopeless; worse than hopeless, because they waste your time when you could either figure it out yourself or get help elsewhere."
